starting_word,target_word,guesses
adieu,bobby,3
adieu,boney,5
adieu,bongo,4
adieu,bonus,4
adieu,booby,4
adieu,boost,4
adieu,booth,4
adieu,booty,3
adieu,booze,4
adieu,boozy,5
adieu,borax,6
adieu,borne,5
adieu,bosom,4
adieu,bossy,3
adieu,botch,4
adieu,bough,7
adieu,boule,7
adieu,bound,6
adieu,bowel,5
adieu,boxer,7
adieu,brace,6
adieu,braid,4
adieu,brain,4
adieu,brake,6
adieu,brand,5
adieu,brash,4
adieu,brass,5
adieu,brave,5
adieu,bravo,6
adieu,brawl,7
adieu,brawn,6
adieu,bread,3
adieu,break,4
adieu,breed,3
adieu,briar,5
adieu,bribe,3
adieu,brick,5
adieu,bride,4
adieu,brief,3
adieu,brine,3
adieu,bring,4
adieu,brink,5
adieu,briny,6
adieu,brisk,6
adieu,broad,3
adieu,broil,4
adieu,broke,4
adieu,brood,4
adieu,brook,5
adieu,broom,6
adieu,broth,5
adieu,brown,4
adieu,brunt,4
adieu,brush,4
adieu,brute,4
adieu,buddy,4
adieu,budge,4
adieu,buggy,4
adieu,bugle,4
adieu,build,2
adieu,built,3
adieu,bulge,4
adieu,bulky,5
adieu,bully,5
adieu,bunch,5
adieu,bunny,5
adieu,burly,7
adieu,burnt,4
adieu,burst,4
adieu,bused,5
adieu,bushy,5
adieu,butch,5
adieu,butte,5
adieu,buxom,5
adieu,buyer,4
adieu,bylaw,5
adieu,cabal,5
adieu,cabby,6
adieu,cabin,4
adieu,cable,4
adieu,cacao,4
adieu,cache,4
adieu,cacti,5
adieu,caddy,7
adieu,cadet,4
adieu,cagey,5
adieu,cairn,3
adieu,camel,4
adieu,cameo,5
adieu,canal,4
adieu,candy,3
adieu,canny,5
adieu,canoe,5
adieu,canon,4
adieu,caper,4
adieu,caput,5
adieu,carat,3
adieu,cargo,4
adieu,carol,4
adieu,carry,3
adieu,carve,4
adieu,caste,6
adieu,catch,5
adieu,cater,4
adieu,catty,4
adieu,caulk,5
adieu,cause,2
adieu,cavil,5
adieu,cease,4
adieu,cedar,4
adieu,cello,4
adieu,chafe,4
adieu,chaff,6
adieu,chain,4
adieu,chair,4
adieu,chalk,4
adieu,champ,4
adieu,chant,4
adieu,chaos,4
adieu,chard,4
adieu,charm,3
adieu,chart,3
adieu,chase,5
adieu,chasm,4
adieu,cheap,4
adieu,cheat,4
adieu,check,3
adieu,cheek,5
adieu,cheer,3
adieu,chess,4
adieu,chest,3
adieu,chick,4
adieu,chide,5
adieu,chief,2
adieu,child,4
adieu,chili,5
adieu,chill,4
adieu,chime,5
adieu,china,2
adieu,chirp,5
adieu,chock,5
adieu,choir,4
adieu,choke,6
adieu,chord,3
adieu,chore,5
adieu,chose,5
adieu,chuck,4
adieu,chump,5
adieu,chunk,5
adieu,churn,4
adieu,chute,3
adieu,cider,6
adieu,cigar,3
adieu,cinch,4
adieu,circa,5
adieu,civic,4
adieu,civil,3
adieu,clack,5
adieu,claim,3
adieu,clamp,4
adieu,clang,5
adieu,clank,4
adieu,clash,4
adieu,clasp,5
adieu,class,3
adieu,clean,4
adieu,clear,4
adieu,cleat,4
adieu,cleft,6
adieu,clerk,5
adieu,click,3
adieu,cliff,5
adieu,climb,4
adieu,cling,5
adieu,clink,6
adieu,cloak,4
adieu,clock,5
adieu,clone,4
adieu,close,3
adieu,cloth,6
adieu,cloud,3
adieu,clout,4
adieu,clove,5
adieu,clown,5
adieu,cluck,5
adieu,clued,5
adieu,clump,5
adieu,clung,5
adieu,coach,4
adieu,coast,3
adieu,cobra,4
adieu,cocoa,4
adieu,colon,4
adieu,color,3
adieu,comet,5
adieu,comfy,5
adieu,comic,3
adieu,comma,4
adieu,conch,6
adieu,condo,4
adieu,conic,5
adieu,copse,4
adieu,coral,5
adieu,corer,6
adieu,corny,4
adieu,couch,4
adieu,cough,5
adieu,could,3
adieu,count,4
adieu,coupe,4
adieu,court,3
adieu,coven,6
adieu,cover,4
adieu,covet,6
adieu,covey,7
adieu,cower,7
adieu,coyly,7
adieu,crack,4
adieu,craft,4
adieu,cramp,6
adieu,crane,5
adieu,crank,5
adieu,crash,3
adieu,crass,4
adieu,crate,6
adieu,crave,7
adieu,crawl,5
adieu,craze,7
adieu,crazy,3
adieu,creak,7
adieu,cream,5
adieu,credo,3
adieu,creed,6
adieu,creek,4
adieu,creep,5
adieu,creme,3
adieu,crepe,5
adieu,crept,5
adieu,cress,4
adieu,crest,4
adieu,crick,4
adieu,cried,3
adieu,crier,4
adieu,crime,5
adieu,crimp,5
adieu,crisp,4
adieu,croak,6
adieu,crock,7
adieu,crone,4
adieu,crony,4
adieu,crook,6
adieu,cross,3
adieu,croup,3
adieu,crowd,3
adieu,crown,5
adieu,crude,3
adieu,cruel,3
adieu,crumb,4
adieu,crump,4
adieu,crush,5
adieu,crust,4
adieu,crypt,3
adieu,cubic,4
adieu,cumin,4
adieu,curio,4
adieu,curly,6
adieu,curry,5
adieu,curse,4
adieu,curve,4
adieu,curvy,7
adieu,cutie,4
adieu,cyber,5
adieu,cycle,4
adieu,cynic,4
adieu,daddy,4
adieu,daily,2
adieu,dairy,3
adieu,daisy,4
adieu,dally,4
adieu,dance,3
adieu,dandy,7
adieu,datum,3
adieu,daunt,4
adieu,dealt,3
adieu,death,2
adieu,debar,5
adieu,debit,4
adieu,debug,3
adieu,debut,3
adieu,decal,4
adieu,decay,4
adieu,decor,5
adieu,decoy,5
adieu,decry,5
adieu,defer,5
adieu,deign,4
adieu,deity,3
adieu,delay,3
adieu,delta,3
adieu,delve,5
adieu,demon,3
adieu,demur,4
adieu,denim,5
adieu,dense,3
adieu,depot,4
adieu,depth,3
adieu,derby,4
adieu,deter,4
adieu,detox,4
adieu,deuce,4
adieu,devil,3
adieu,diary,4
adieu,dicey,6
adieu,digit,3
adieu,dilly,3
adieu,dimly,4
adieu,diner,4
adieu,dingo,5
adieu,dingy,6
adieu,diode,5
adieu,dirge,4
adieu,dirty,3
adieu,disco,3
adieu,ditch,4
adieu,ditto,4
adieu,ditty,4
adieu,diver,4
adieu,dizzy,4
adieu,dodge,4
adieu,dodgy,5
adieu,dogma,5
adieu,doing,2
adieu,dolly,4
adieu,donor,4
adieu,donut,3
adieu,dopey,6
adieu,doubt,3
adieu,dough,4
adieu,dowdy,4
adieu,dowel,7
adieu,downy,4
adieu,dowry,4
adieu,dozen,4
adieu,draft,4
adieu,drain,3
adieu,drake,3
adieu,drama,4
adieu,drank,5
adieu,drape,4
adieu,drawl,5
adieu,drawn,5
adieu,dread,5
adieu,dream,4
adieu,dress,3
adieu,dried,5
adieu,drier,4
adieu,drift,4
adieu,drill,3
adieu,drink,3
adieu,drive,2
adieu,droit,3
adieu,droll,3
adieu,drone,4
adieu,drool,3
adieu,droop,4
adieu,dross,4
adieu,drove,3
adieu,drown,3
adieu,druid,4
adieu,drunk,4
adieu,dryer,3
adieu,dryly,3
adieu,duchy,5
adieu,dully,4
adieu,dummy,5
adieu,dumpy,6
adieu,dunce,5
adieu,dusky,5
adieu,dusty,4
adieu,dutch,4
adieu,duvet,4
adieu,dwarf,5
adieu,dwell,3
adieu,dwelt,4
adieu,dying,3
adieu,eager,7
adieu,eagle,4
adieu,early,3
adieu,earth,4
adieu,easel,4
adieu,eaten,4
adieu,eater,6
adieu,ebony,5
adieu,eclat,5
adieu,edict,3
adieu,edify,3
adieu,eerie,5
adieu,egret,5
adieu,eight,3
adieu,eject,5
adieu,eking,4
adieu,elate,7
adieu,elbow,4
adieu,elder,3
adieu,elect,4
adieu,elegy,4
adieu,elfin,5
adieu,elide,5
adieu,elite,4
adieu,elope,5
adieu,elude,4
adieu,email,3
adieu,embed,4
adieu,ember,5
adieu,emcee,5
adieu,empty,4
adieu,enact,5
adieu,endow,4
adieu,enema,6
adieu,enemy,4
adieu,enjoy,4
adieu,ennui,3
adieu,ensue,4
adieu,enter,4
adieu,entry,4
adieu,envoy,5
adieu,epoch,4
adieu,epoxy,5
adieu,equal,3
adieu,equip,3
adieu,erase,3
adieu,erect,5
adieu,erode,4
adieu,error,4
adieu,erupt,3
adieu,essay,3
adieu,ester,5
adieu,ether,3
adieu,ethic,3
adieu,ethos,4
adieu,etude,5
adieu,evade,5
adieu,event,3
adieu,every,3
adieu,evict,5
adieu,evoke,5
adieu,exact,4
adieu,exalt,4
adieu,excel,4
adieu,exert,4
adieu,exile,5
adieu,exist,4
adieu,expel,5
adieu,extol,4
adieu,extra,3
adieu,exult,4
adieu,eying,3
adieu,fable,5
adieu,facet,4
adieu,faint,5
adieu,fairy,5
adieu,faith,3
adieu,false,5
adieu,fancy,4
adieu,fanny,7
adieu,farce,5
adieu,fatal,4
adieu,fatty,5
adieu,fault,3
adieu,fauna,3
adieu,favor,5
adieu,feast,5
adieu,fecal,6
adieu,feign,4
adieu,fella,4
adieu,felon,6
adieu,femme,4
adieu,femur,4
adieu,fence,4
adieu,feral,4
adieu,ferry,6
adieu,fetal,5
adieu,fetch,3
adieu,fetid,3
adieu,fetus,5
adieu,fever,4
adieu,fewer,5
adieu,fiber,4
adieu,fibre,4
adieu,ficus,5
adieu,field,2
adieu,fiend,3
adieu,fiery,3
adieu,fifth,3
adieu,fifty,4
adieu,fight,3
adieu,filer,6
adieu,filet,4
adieu,filly,4
adieu,filmy,5
adieu,filth,4
adieu,final,2
adieu,finch,3
adieu,finer,5
adieu,first,2
adieu,fishy,4
adieu,fixer,5
adieu,fizzy,5
adieu,fjord,4
adieu,flack,4
adieu,flail,4
adieu,flair,3
adieu,flake,6
adieu,flaky,4
adieu,flame,5
adieu,flank,4
adieu,flare,3
adieu,flash,5
adieu,flask,6
adieu,fleck,6
adieu,fleet,4
adieu,flesh,3
adieu,flick,5
adieu,flier,4
adieu,fling,7
adieu,flint,5
adieu,flirt,6
adieu,float,3
adieu,flock,6
adieu,flood,4
adieu,floor,4
adieu,flora,4
adieu,floss,6
adieu,flour,3
adieu,flout,5
adieu,flown,6
adieu,fluff,5
adieu,fluid,2
adieu,fluke,4
adieu,flume,5
adieu,flung,4
adieu,flunk,4
adieu,flush,4
adieu,flute,3
adieu,flyer,6
adieu,foamy,5
adieu,focal,5
adieu,focus,3
adieu,foggy,7
adieu,foist,6
adieu,folio,3
adieu,folly,7
adieu,foray,5
adieu,force,3
adieu,forge,4
adieu,forgo,5
adieu,forte,4
adieu,forth,5
adieu,forty,3
adieu,forum,4
adieu,found,3
adieu,foyer,7
adieu,frail,3
adieu,frame,3
adieu,frank,4
adieu,fraud,3
adieu,freak,5
adieu,freed,4
adieu,freer,5
adieu,fresh,3
adieu,friar,4
adieu,fried,4
adieu,frill,7
adieu,frisk,7
adieu,fritz,5
adieu,frock,5
adieu,frond,5
adieu,front,3
adieu,frost,4
adieu,froth,4
adieu,frown,6
adieu,froze,4
adieu,fruit,3
adieu,fudge,3
adieu,fugue,6
adieu,fully,5
adieu,fungi,4
adieu,funky,5
adieu,funny,4
adieu,furor,6
adieu,furry,6
adieu,fussy,5
adieu,fuzzy,6
adieu,gaffe,5
adieu,gaily,5
adieu,gamer,7
adieu,gamma,6
adieu,gamut,4
adieu,gassy,6
adieu,gaudy,3
adieu,gauge,3
adieu,gaunt,6
adieu,gauze,4
adieu,gavel,7
adieu,gawky,7
adieu,gayer,7
adieu,gayly,7
adieu,gazer,7
adieu,gecko,4
adieu,geeky,4
adieu,geese,5
adieu,genie,5
adieu,genre,4
adieu,ghost,4
adieu,ghoul,3
adieu,giant,3
adieu,giddy,5
adieu,gipsy,6
adieu,girly,4
adieu,girth,4
adieu,given,3
adieu,giver,4
adieu,glade,4
adieu,gland,5
adieu,glare,4
adieu,glass,4
adieu,glaze,5
adieu,gleam,5
adieu,glean,5
adieu,glide,4
adieu,glint,5
adieu,gloat,4
adieu,globe,4
adieu,gloom,5
adieu,glory,3
adieu,gloss,6
adieu,glove,5
adieu,glyph,4
adieu,gnash,4
adieu,gnome,6
adieu,godly,4
adieu,going,3
adieu,golem,5
adieu,golly,7
adieu,gonad,4
adieu,goner,6
adieu,goody,4
adieu,gooey,6
adieu,goofy,3
adieu,goose,4
adieu,gorge,6
adieu,gouge,5
adieu,gourd,4
adieu,grace,4
adieu,grade,3
adieu,graft,4
adieu,grail,4
adieu,grain,5
adieu,grand,4
adieu,grant,3
adieu,grape,6
adieu,graph,5
adieu,grasp,5
adieu,grass,4
adieu,grate,7
adieu,grave,5
adieu,gravy,4
adieu,graze,7
adieu,great,3
adieu,greed,5
adieu,green,3
adieu,greet,4
adieu,grief,4
adieu,grill,4
adieu,grime,3
adieu,grimy,6
adieu,grind,3
adieu,gripe,4
adieu,groan,6
adieu,groin,4
adieu,groom,4
adieu,grope,6
adieu,gross,4
adieu,group,2
adieu,grout,3
adieu,grove,6
adieu,growl,4
adieu,grown,4
adieu,gruel,4
adieu,gruff,4
adieu,grunt,3
adieu,guard,2
adieu,guava,7
adieu,guess,3
adieu,guest,4
adieu,guide,2
adieu,guild,3
adieu,guile,5
adieu,guilt,3
adieu,guise,4
adieu,gulch,5
adieu,gully,4
adieu,gumbo,4
adieu,gummy,5
adieu,guppy,3
adieu,gusto,3
adieu,gusty,4
adieu,gypsy,3
adieu,habit,4
adieu,hairy,4
adieu,halve,5
adieu,handy,5
adieu,happy,4
adieu,hardy,4
adieu,harem,4
adieu,harpy,5
adieu,harry,4
adieu,harsh,4
adieu,haste,7
adieu,hasty,6
adieu,hatch,7
adieu,hater,7
adieu,haunt,3
adieu,haute,4
adieu,haven,5
adieu,havoc,5
adieu,hazel,6
adieu,heady,5
adieu,heard,3
adieu,heart,3
adieu,heath,6
adieu,heave,5
adieu,heavy,3
adieu,hedge,4
adieu,hefty,4
adieu,heist,5
adieu,helix,3
adieu,hello,4
adieu,hence,3
adieu,heron,4
adieu,hilly,6
adieu,hinge,4
adieu,hippo,6
adieu,hippy,6
adieu,hitch,7
adieu,hoard,4
adieu,hobby,5
adieu,hoist,4
adieu,holly,5
adieu,homer,3
adieu,honey,4
adieu,honor,4
adieu,horde,3
adieu,horny,4
adieu,horse,3
adieu,hotel,3
adieu,hotly,5
adieu,hound,7
adieu,house,2
adieu,hovel,5
adieu,hover,4
adieu,howdy,4
adieu,human,2
adieu,humid,3
adieu,humor,4
adieu,humph,4
adieu,humus,4
adieu,hunch,7
adieu,hunky,5
adieu,hurry,4
adieu,husky,5
adieu,hussy,6
adieu,hutch,6
adieu,hydro,4
adieu,hyena,4
adieu,hymen,4
adieu,hyper,4
adieu,icily,4
adieu,icing,4
adieu,ideal,3
adieu,idiom,3
adieu,idiot,2
adieu,idler,2
adieu,idyll,3
adieu,igloo,5
adieu,iliac,3
adieu,image,2
adieu,imbue,3
adieu,impel,3
adieu,imply,4
adieu,inane,4
adieu,inbox,4
adieu,incur,3
adieu,index,3
adieu,inept,4
adieu,inert,3
adieu,infer,4
adieu,ingot,4
adieu,inlay,3
adieu,inlet,4
adieu,inner,3
adieu,input,3
adieu,inter,3
adieu,intro,3
adieu,ionic,5
adieu,irate,3
adieu,irony,4
adieu,islet,4
adieu,issue,2
adieu,itchy,4
adieu,ivory,4
adieu,jaunt,7
adieu,jazzy,7
adieu,jelly,6
adieu,jerky,5
adieu,jetty,6
adieu,jewel,4
adieu,jiffy,3
adieu,joint,5
adieu,joist,5
adieu,joker,7
adieu,jolly,6
adieu,joust,4
adieu,judge,2
adieu,juice,3
adieu,juicy,5
adieu,jumbo,4
adieu,jumpy,5
adieu,junta,3
adieu,junto,4
adieu,juror,5
adieu,kappa,5
adieu,karma,4
adieu,kayak,5
adieu,kebab,4
adieu,khaki,4
adieu,kinky,6
adieu,kiosk,4
adieu,kitty,4
adieu,knack,5
adieu,knave,5
adieu,knead,5
adieu,kneed,6
adieu,kneel,5
adieu,knelt,4
adieu,knife,4
adieu,knock,4
adieu,knoll,5
adieu,known,3
adieu,koala,4
adieu,krill,6
adieu,label,5
adieu,labor,4
adieu,laden,3
adieu,ladle,5
adieu,lager,6
adieu,lance,5
adieu,lanky,4
adieu,lapel,5
adieu,lapse,5
adieu,large,4
adieu,larva,5
adieu,lasso,5
adieu,latch,7
adieu,later,3
adieu,lathe,5
adieu,latte,4
adieu,laugh,3
adieu,layer,4
adieu,leach,4
adieu,leafy,4
adieu,leaky,5
adieu,leant,6
adieu,leapt,5
adieu,learn,4
adieu,lease,4
adieu,leash,5
adieu,least,3
adieu,leave,3
adieu,ledge,5
adieu,leech,4
adieu,leery,4
adieu,lefty,4
adieu,legal,3
adieu,leggy,6
adieu,lemon,5
adieu,lemur,5
adieu,leper,6
adieu,level,3
adieu,lever,5
adieu,libel,5
adieu,liege,5
adieu,light,5
adieu,liken,5
adieu,lilac,3
adieu,limbo,5
adieu,limit,4
adieu,linen,4
adieu,liner,4
adieu,lingo,5
adieu,lipid,3
adieu,lithe,4
adieu,liver,5
adieu,livid,4
adieu,llama,5
adieu,loamy,4
adieu,loath,4
adieu,lobby,4
adieu,local,3
adieu,locus,4
adieu,lodge,4
adieu,lofty,4
adieu,logic,4
adieu,login,4
adieu,loopy,6
adieu,loose,4
adieu,lorry,4
adieu,loser,6
adieu,louse,5
adieu,lousy,4
adieu,lover,5
adieu,lower,4
adieu,lowly,6
adieu,loyal,4
adieu,lucid,3
adieu,lucky,4
adieu,lumen,4
adieu,lumpy,6
adieu,lunar,3
adieu,lunch,5
adieu,lunge,4
adieu,lupus,3
adieu,lurch,5
adieu,lurid,4
adieu,lusty,6
adieu,lying,5
adieu,lymph,4
adieu,lynch,3
adieu,lyric,3
adieu,macaw,4
adieu,macho,5
adieu,macro,4
adieu,madam,4
adieu,madly,5
adieu,mafia,3
adieu,magic,4
adieu,magma,7
adieu,maize,4
adieu,major,3
adieu,maker,6
adieu,mambo,5
adieu,mamma,7
adieu,mammy,7
adieu,manga,6
adieu,mange,6
adieu,mango,5
adieu,mangy,7
adieu,mania,4
adieu,manic,4
